as_of,location,target,target_end_date,observation
2025-10-15,triad-area,Flu ED visits pct,2011-12-31,0.17
2025-10-15,triad-area,Flu ED visits pct,2012-01-07,0.13
2025-10-15,triad-area,Flu ED visits pct,2012-01-14,0.12
2025-10-15,triad-area,Flu ED visits pct,2012-01-21,0.1
2025-10-15,triad-area,Flu ED visits pct,2012-01-28,0.07
2025-10-15,triad-area,Flu ED visits pct,2012-02-04,0.09
2025-10-15,triad-area,Flu ED visits pct,2012-02-11,0.13
2025-10-15,triad-area,Flu ED visits pct,2012-02-18,0.17
2025-10-15,triad-area,Flu ED visits pct,2012-02-25,0.18
2025-10-15,triad-area,Flu ED visits pct,2012-03-03,0.32
2025-10-15,triad-area,Flu ED visits pct,2012-03-10,0.35
2025-10-15,triad-area,Flu ED visits pct,2012-03-17,0.29
2025-10-15,triad-area,Flu ED visits pct,2012-03-24,0.21
2025-10-15,triad-area,Flu ED visits pct,2012-03-31,0.31
2025-10-15,triad-area,Flu ED visits pct,2012-04-07,0.11
2025-10-15,triad-area,Flu ED visits pct,2012-04-14,0.13
2025-10-15,triad-area,Flu ED visits pct,2012-04-21,0.09
2025-10-15,triad-area,Flu ED visits pct,2012-04-28,0.1
2025-10-15,triad-area,Flu ED visits pct,2012-05-05,0.16
2025-10-15,triad-area,Flu ED visits pct,2012-05-12,0.07
2025-10-15,triad-area,Flu ED visits pct,2012-05-19,0.05
2025-10-15,triad-area,Flu ED visits pct,2012-05-26,0.06
2025-10-15,triad-area,Flu ED visits pct,2012-06-02,0.01
2025-10-15,triad-area,Flu ED visits pct,2012-06-09,0.01
2025-10-15,triad-area,Flu ED visits pct,2012-06-16,0.01
2025-10-15,triad-area,Flu ED visits pct,2012-06-23,0.01
2025-10-15,triad-area,Flu ED visits pct,2012-06-30,0.01
2025-10-15,triad-area,Flu ED visits pct,2012-07-07,0.01
2025-10-15,triad-area,Flu ED visits pct,2012-07-14,0.04
2025-10-15,triad-area,Flu ED visits pct,2012-07-21,0.01
2025-10-15,triad-area,Flu ED visits pct,2012-07-28,0.01
2025-10-15,triad-area,Flu ED visits pct,2012-08-04,0.02
2025-10-15,triad-area,Flu ED visits pct,2012-08-11,0
2025-10-15,triad-area,Flu ED visits pct,2012-08-18,0
2025-10-15,triad-area,Flu ED visits pct,2012-08-25,0.02
2025-10-15,triad-area,Flu ED visits pct,2012-09-01,0.01
2025-10-15,triad-area,Flu ED visits pct,2012-09-08,0.04
2025-10-15,triad-area,Flu ED visits pct,2012-09-15,0
2025-10-15,triad-area,Flu ED visits pct,2012-09-22,0.02
2025-10-15,triad-area,Flu ED visits pct,2012-09-29,0.02
2025-10-15,triad-area,Flu ED visits pct,2012-10-06,0.05
2025-10-15,triad-area,Flu ED visits pct,2012-10-13,0.05
2025-10-15,triad-area,Flu ED visits pct,2012-10-20,0.08
2025-10-15,triad-area,Flu ED visits pct,2012-10-27,0.08
2025-10-15,triad-area,Flu ED visits pct,2012-11-03,0.19
2025-10-15,triad-area,Flu ED visits pct,2012-11-10,0.32
2025-10-15,triad-area,Flu ED visits pct,2012-11-17,0.79
2025-10-15,triad-area,Flu ED visits pct,2012-11-24,1.49
2025-10-15,triad-area,Flu ED visits pct,2012-12-01,2.4
2025-10-15,triad-area,Flu ED visits pct,2012-12-08,5.03
2025-10-15,triad-area,Flu ED visits pct,2012-12-15,4.96
2025-10-15,triad-area,Flu ED visits pct,2012-12-22,4.53
2025-10-15,triad-area,Flu ED visits pct,2012-12-29,3.54
2025-10-15,triad-area,Flu ED visits pct,2013-01-05,2.06
2025-10-15,triad-area,Flu ED visits pct,2013-01-12,1.69
2025-10-15,triad-area,Flu ED visits pct,2013-01-19,1.18
2025-10-15,triad-area,Flu ED visits pct,2013-01-26,0.76
2025-10-15,triad-area,Flu ED visits pct,2013-02-02,0.73
2025-10-15,triad-area,Flu ED visits pct,2013-02-09,0.57
2025-10-15,triad-area,Flu ED visits pct,2013-02-16,0.55
2025-10-15,triad-area,Flu ED visits pct,2013-02-23,0.68
2025-10-15,triad-area,Flu ED visits pct,2013-03-02,0.56
2025-10-15,triad-area,Flu ED visits pct,2013-03-09,0.63
2025-10-15,triad-area,Flu ED visits pct,2013-03-16,0.85
2025-10-15,triad-area,Flu ED visits pct,2013-03-23,0.68
2025-10-15,triad-area,Flu ED visits pct,2013-03-30,0.56
2025-10-15,triad-area,Flu ED visits pct,2013-04-06,0.65
2025-10-15,triad-area,Flu ED visits pct,2013-04-13,0.3
2025-10-15,triad-area,Flu ED visits pct,2013-04-20,0.14
2025-10-15,triad-area,Flu ED visits pct,2013-04-27,0.11
2025-10-15,triad-area,Flu ED visits pct,2013-05-04,0.1
2025-10-15,triad-area,Flu ED visits pct,2013-05-11,0.06
2025-10-15,triad-area,Flu ED visits pct,2013-05-18,0.07
2025-10-15,triad-area,Flu ED visits pct,2013-05-25,0.05
2025-10-15,triad-area,Flu ED visits pct,2013-06-01,0.06
2025-10-15,triad-area,Flu ED visits pct,2013-06-08,0.04
2025-10-15,triad-area,Flu ED visits pct,2013-06-15,0
2025-10-15,triad-area,Flu ED visits pct,2013-06-22,0.01
2025-10-15,triad-area,Flu ED visits pct,2013-06-29,0.02
2025-10-15,triad-area,Flu ED visits pct,2013-07-06,0.03
2025-10-15,triad-area,Flu ED visits pct,2013-07-13,0.02
2025-10-15,triad-area,Flu ED visits pct,2013-07-20,0.04
2025-10-15,triad-area,Flu ED visits pct,2013-07-27,0.01
2025-10-15,triad-area,Flu ED visits pct,2013-08-03,0.01
2025-10-15,triad-area,Flu ED visits pct,2013-08-10,0
2025-10-15,triad-area,Flu ED visits pct,2013-08-17,0
2025-10-15,triad-area,Flu ED visits pct,2013-08-24,0.03
2025-10-15,triad-area,Flu ED visits pct,2013-08-31,0.02
2025-10-15,triad-area,Flu ED visits pct,2013-09-07,0.01
2025-10-15,triad-area,Flu ED visits pct,2013-09-14,0.02
2025-10-15,triad-area,Flu ED visits pct,2013-09-21,0.04
2025-10-15,triad-area,Flu ED visits pct,2013-09-28,0.06
2025-10-15,triad-area,Flu ED visits pct,2013-10-05,0.07
2025-10-15,triad-area,Flu ED visits pct,2013-10-12,0.07
2025-10-15,triad-area,Flu ED visits pct,2013-10-19,0.09
2025-10-15,triad-area,Flu ED visits pct,2013-10-26,0.13
2025-10-15,triad-area,Flu ED visits pct,2013-11-02,0.2
2025-10-15,triad-area,Flu ED visits pct,2013-11-09,0.16
2025-10-15,triad-area,Flu ED visits pct,2013-11-16,0.22
2025-10-15,triad-area,Flu ED visits pct,2013-11-23,0.29
2025-10-15,triad-area,Flu ED visits pct,2013-11-30,0.35
2025-10-15,triad-area,Flu ED visits pct,2013-12-07,0.66
2025-10-15,triad-area,Flu ED visits pct,2013-12-14,0.88
2025-10-15,triad-area,Flu ED visits pct,2013-12-21,1.56
2025-10-15,triad-area,Flu ED visits pct,2013-12-28,2.41
2025-10-15,triad-area,Flu ED visits pct,2014-01-04,3.45
2025-10-15,triad-area,Flu ED visits pct,2014-01-11,3.43
2025-10-15,triad-area,Flu ED visits pct,2014-01-18,2.91
2025-10-15,triad-area,Flu ED visits pct,2014-01-25,2.36
2025-10-15,triad-area,Flu ED visits pct,2014-02-01,2.06
2025-10-15,triad-area,Flu ED visits pct,2014-02-08,1.1
2025-10-15,triad-area,Flu ED visits pct,2014-02-15,0.95
2025-10-15,triad-area,Flu ED visits pct,2014-02-22,0.66
2025-10-15,triad-area,Flu ED visits pct,2014-03-01,0.43
2025-10-15,triad-area,Flu ED visits pct,2014-03-08,0.31
2025-10-15,triad-area,Flu ED visits pct,2014-03-15,0.2
2025-10-15,triad-area,Flu ED visits pct,2014-03-22,0.28
2025-10-15,triad-area,Flu ED visits pct,2014-03-29,0.16
2025-10-15,triad-area,Flu ED visits pct,2014-04-05,0.17
2025-10-15,triad-area,Flu ED visits pct,2014-04-12,0.27
2025-10-15,triad-area,Flu ED visits pct,2014-04-19,0.2
2025-10-15,triad-area,Flu ED visits pct,2014-04-26,0.18
2025-10-15,triad-area,Flu ED visits pct,2014-05-03,0.11
2025-10-15,triad-area,Flu ED visits pct,2014-05-10,0.08
2025-10-15,triad-area,Flu ED visits pct,2014-05-17,0.07
2025-10-15,triad-area,Flu ED visits pct,2014-05-24,0.03
2025-10-15,triad-area,Flu ED visits pct,2014-05-31,0.03
2025-10-15,triad-area,Flu ED visits pct,2014-06-07,0.03
2025-10-15,triad-area,Flu ED visits pct,2014-06-14,0.02
2025-10-15,triad-area,Flu ED visits pct,2014-06-21,0.02
2025-10-15,triad-area,Flu ED visits pct,2014-06-28,0.04
2025-10-15,triad-area,Flu ED visits pct,2014-07-05,0
2025-10-15,triad-area,Flu ED visits pct,2014-07-12,0.01
2025-10-15,triad-area,Flu ED visits pct,2014-07-19,0.01
2025-10-15,triad-area,Flu ED visits pct,2014-07-26,0
2025-10-15,triad-area,Flu ED visits pct,2014-08-02,0.01
2025-10-15,triad-area,Flu ED visits pct,2014-08-09,0.01
2025-10-15,triad-area,Flu ED visits pct,2014-08-16,0.02
2025-10-15,triad-area,Flu ED visits pct,2014-08-23,0.02
2025-10-15,triad-area,Flu ED visits pct,2014-08-30,0.01
2025-10-15,triad-area,Flu ED visits pct,2014-09-06,0.02
2025-10-15,triad-area,Flu ED visits pct,2014-09-13,0.01
2025-10-15,triad-area,Flu ED visits pct,2014-09-20,0.02
2025-10-15,triad-area,Flu ED visits pct,2014-09-27,0.06
2025-10-15,triad-area,Flu ED visits pct,2014-10-04,0.05
2025-10-15,triad-area,Flu ED visits pct,2014-10-11,0.03
2025-10-15,triad-area,Flu ED visits pct,2014-10-18,0.07
2025-10-15,triad-area,Flu ED visits pct,2014-10-25,0.1
2025-10-15,triad-area,Flu ED visits pct,2014-11-01,0.12
2025-10-15,triad-area,Flu ED visits pct,2014-11-08,0.09
2025-10-15,triad-area,Flu ED visits pct,2014-11-15,0.12
2025-10-15,triad-area,Flu ED visits pct,2014-11-22,0.13
2025-10-15,triad-area,Flu ED visits pct,2014-11-29,0.25
2025-10-15,triad-area,Flu ED visits pct,2014-12-06,0.36
2025-10-15,triad-area,Flu ED visits pct,2014-12-13,0.72
2025-10-15,triad-area,Flu ED visits pct,2014-12-20,2.14
2025-10-15,triad-area,Flu ED visits pct,2014-12-27,5.31
2025-10-15,triad-area,Flu ED visits pct,2015-01-03,5.56
2025-10-15,triad-area,Flu ED visits pct,2015-01-10,3.66
2025-10-15,triad-area,Flu ED visits pct,2015-01-17,3.25
2025-10-15,triad-area,Flu ED visits pct,2015-01-24,2.68
2025-10-15,triad-area,Flu ED visits pct,2015-01-31,2.09
2025-10-15,triad-area,Flu ED visits pct,2015-02-07,1.85
2025-10-15,triad-area,Flu ED visits pct,2015-02-14,1.36
2025-10-15,triad-area,Flu ED visits pct,2015-02-21,1.12
2025-10-15,triad-area,Flu ED visits pct,2015-02-28,0.97
2025-10-15,triad-area,Flu ED visits pct,2015-03-07,0.8
2025-10-15,triad-area,Flu ED visits pct,2015-03-14,0.71
2025-10-15,triad-area,Flu ED visits pct,2015-03-21,0.68
2025-10-15,triad-area,Flu ED visits pct,2015-03-28,0.65
2025-10-15,triad-area,Flu ED visits pct,2015-04-04,0.33
2025-10-15,triad-area,Flu ED visits pct,2015-04-11,0.39
2025-10-15,triad-area,Flu ED visits pct,2015-04-18,0.28
2025-10-15,triad-area,Flu ED visits pct,2015-04-25,0.16
2025-10-15,triad-area,Flu ED visits pct,2015-05-02,0.12
2025-10-15,triad-area,Flu ED visits pct,2015-05-09,0.07
2025-10-15,triad-area,Flu ED visits pct,2015-05-16,0.05
2025-10-15,triad-area,Flu ED visits pct,2015-05-23,0.04
2025-10-15,triad-area,Flu ED visits pct,2015-05-30,0.01
2025-10-15,triad-area,Flu ED visits pct,2015-06-06,0.02
2025-10-15,triad-area,Flu ED visits pct,2015-06-13,0.02
2025-10-15,triad-area,Flu ED visits pct,2015-06-20,0.02
2025-10-15,triad-area,Flu ED visits pct,2015-06-27,0.02
2025-10-15,triad-area,Flu ED visits pct,2015-07-04,0
2025-10-15,triad-area,Flu ED visits pct,2015-07-11,0
2025-10-15,triad-area,Flu ED visits pct,2015-07-18,0.04
2025-10-15,triad-area,Flu ED visits pct,2015-07-25,0.02
2025-10-15,triad-area,Flu ED visits pct,2015-08-01,0
2025-10-15,triad-area,Flu ED visits pct,2015-08-08,0.03
2025-10-15,triad-area,Flu ED visits pct,2015-08-15,0.01
2025-10-15,triad-area,Flu ED visits pct,2015-08-22,0
2025-10-15,triad-area,Flu ED visits pct,2015-08-29,0.01
2025-10-15,triad-area,Flu ED visits pct,2015-09-05,0.04
2025-10-15,triad-area,Flu ED visits pct,2015-09-12,0.01
2025-10-15,triad-area,Flu ED visits pct,2015-09-19,0.05
2025-10-15,triad-area,Flu ED visits pct,2015-09-26,0.07
2025-10-15,triad-area,Flu ED visits pct,2015-10-03,0.12
2025-10-15,triad-area,Flu ED visits pct,2015-10-10,0.09
2025-10-15,triad-area,Flu ED visits pct,2015-10-17,0.04
2025-10-15,triad-area,Flu ED visits pct,2015-10-24,0.09
2025-10-15,triad-area,Flu ED visits pct,2015-10-31,0.09
2025-10-15,triad-area,Flu ED visits pct,2015-11-07,0.1
2025-10-15,triad-area,Flu ED visits pct,2015-11-14,0.09
2025-10-15,triad-area,Flu ED visits pct,2015-11-21,0.18
2025-10-15,triad-area,Flu ED visits pct,2015-11-28,0.14
2025-10-15,triad-area,Flu ED visits pct,2015-12-05,0.16
2025-10-15,triad-area,Flu ED visits pct,2015-12-12,0.2
2025-10-15,triad-area,Flu ED visits pct,2015-12-19,0.15
2025-10-15,triad-area,Flu ED visits pct,2015-12-26,0.18
2025-10-15,triad-area,Flu ED visits pct,2016-01-02,0.23
2025-10-15,triad-area,Flu ED visits pct,2016-01-09,0.24
2025-10-15,triad-area,Flu ED visits pct,2016-01-16,0.19
2025-10-15,triad-area,Flu ED visits pct,2016-01-23,0.21
2025-10-15,triad-area,Flu ED visits pct,2016-01-30,0.13
2025-10-15,triad-area,Flu ED visits pct,2016-02-06,0.2
2025-10-15,triad-area,Flu ED visits pct,2016-02-13,0.24
2025-10-15,triad-area,Flu ED visits pct,2016-02-20,0.47
2025-10-15,triad-area,Flu ED visits pct,2016-02-27,0.81
2025-10-15,triad-area,Flu ED visits pct,2016-03-05,1.44
2025-10-15,triad-area,Flu ED visits pct,2016-03-12,2.86
2025-10-15,triad-area,Flu ED visits pct,2016-03-19,1.82
2025-10-15,triad-area,Flu ED visits pct,2016-03-26,1.59
2025-10-15,triad-area,Flu ED visits pct,2016-04-02,1.22
2025-10-15,triad-area,Flu ED visits pct,2016-04-09,0.92
2025-10-15,triad-area,Flu ED visits pct,2016-04-16,0.63
2025-10-15,triad-area,Flu ED visits pct,2016-04-23,0.91
2025-10-15,triad-area,Flu ED visits pct,2016-04-30,0.55
2025-10-15,triad-area,Flu ED visits pct,2016-05-07,0.4
2025-10-15,triad-area,Flu ED visits pct,2016-05-14,0.27
2025-10-15,triad-area,Flu ED visits pct,2016-05-21,0.24
2025-10-15,triad-area,Flu ED visits pct,2016-05-28,0.12
2025-10-15,triad-area,Flu ED visits pct,2016-06-04,0.15
2025-10-15,triad-area,Flu ED visits pct,2016-06-11,0.11
2025-10-15,triad-area,Flu ED visits pct,2016-06-18,0.05
2025-10-15,triad-area,Flu ED visits pct,2016-06-25,0.06
2025-10-15,triad-area,Flu ED visits pct,2016-07-02,0.04
2025-10-15,triad-area,Flu ED visits pct,2016-07-09,0.03
2025-10-15,triad-area,Flu ED visits pct,2016-07-16,0.02
2025-10-15,triad-area,Flu ED visits pct,2016-07-23,0.02
2025-10-15,triad-area,Flu ED visits pct,2016-07-30,0.01
2025-10-15,triad-area,Flu ED visits pct,2016-08-06,0.03
2025-10-15,triad-area,Flu ED visits pct,2016-08-13,0.02
2025-10-15,triad-area,Flu ED visits pct,2016-08-20,0.01
2025-10-15,triad-area,Flu ED visits pct,2016-08-27,0.01
2025-10-15,triad-area,Flu ED visits pct,2016-09-03,0.02
2025-10-15,triad-area,Flu ED visits pct,2016-09-10,0.02
2025-10-15,triad-area,Flu ED visits pct,2016-09-17,0.05
2025-10-15,triad-area,Flu ED visits pct,2016-09-24,0.08
2025-10-15,triad-area,Flu ED visits pct,2016-10-01,0.06
2025-10-15,triad-area,Flu ED visits pct,2016-10-08,0.06
2025-10-15,triad-area,Flu ED visits pct,2016-10-15,0.09
2025-10-15,triad-area,Flu ED visits pct,2016-10-22,0.07
2025-10-15,triad-area,Flu ED visits pct,2016-10-29,0.09
2025-10-15,triad-area,Flu ED visits pct,2016-11-05,0.1
2025-10-15,triad-area,Flu ED visits pct,2016-11-12,0.09
2025-10-15,triad-area,Flu ED visits pct,2016-11-19,0.09
2025-10-15,triad-area,Flu ED visits pct,2016-11-26,0.14
2025-10-15,triad-area,Flu ED visits pct,2016-12-03,0.13
2025-10-15,triad-area,Flu ED visits pct,2016-12-10,0.26
2025-10-15,triad-area,Flu ED visits pct,2016-12-17,0.28
2025-10-15,triad-area,Flu ED visits pct,2016-12-24,0.5
2025-10-15,triad-area,Flu ED visits pct,2016-12-31,0.89
2025-10-15,triad-area,Flu ED visits pct,2017-01-07,0.77
2025-10-15,triad-area,Flu ED visits pct,2017-01-14,0.83
2025-10-15,triad-area,Flu ED visits pct,2017-01-21,0.82
2025-10-15,triad-area,Flu ED visits pct,2017-01-28,0.64
2025-10-15,triad-area,Flu ED visits pct,2017-02-04,1
2025-10-15,triad-area,Flu ED visits pct,2017-02-11,2.04
2025-10-15,triad-area,Flu ED visits pct,2017-02-18,3.13
2025-10-15,triad-area,Flu ED visits pct,2017-02-25,4.5
2025-10-15,triad-area,Flu ED visits pct,2017-03-04,3.6
2025-10-15,triad-area,Flu ED visits pct,2017-03-11,3.32
2025-10-15,triad-area,Flu ED visits pct,2017-03-18,3.39
2025-10-15,triad-area,Flu ED visits pct,2017-03-25,3.61
2025-10-15,triad-area,Flu ED visits pct,2017-04-01,2.96
2025-10-15,triad-area,Flu ED visits pct,2017-04-08,1.48
2025-10-15,triad-area,Flu ED visits pct,2017-04-15,0.93
2025-10-15,triad-area,Flu ED visits pct,2017-04-22,0.46
2025-10-15,triad-area,Flu ED visits pct,2017-04-29,0.17
2025-10-15,triad-area,Flu ED visits pct,2017-05-06,0.1
2025-10-15,triad-area,Flu ED visits pct,2017-05-13,0.09
2025-10-15,triad-area,Flu ED visits pct,2017-05-20,0.07
2025-10-15,triad-area,Flu ED visits pct,2017-05-27,0.02
2025-10-15,triad-area,Flu ED visits pct,2017-06-03,0.07
2025-10-15,triad-area,Flu ED visits pct,2017-06-10,0.07
2025-10-15,triad-area,Flu ED visits pct,2017-06-17,0.04
2025-10-15,triad-area,Flu ED visits pct,2017-06-24,0.02
2025-10-15,triad-area,Flu ED visits pct,2017-07-01,0.02
2025-10-15,triad-area,Flu ED visits pct,2017-07-08,0.01
2025-10-15,triad-area,Flu ED visits pct,2017-07-15,0.01
2025-10-15,triad-area,Flu ED visits pct,2017-07-22,0.04
2025-10-15,triad-area,Flu ED visits pct,2017-07-29,0.01
2025-10-15,triad-area,Flu ED visits pct,2017-08-05,0.03
2025-10-15,triad-area,Flu ED visits pct,2017-08-12,0.02
2025-10-15,triad-area,Flu ED visits pct,2017-08-19,0.01
2025-10-15,triad-area,Flu ED visits pct,2017-08-26,0
2025-10-15,triad-area,Flu ED visits pct,2017-09-02,0.01
2025-10-15,triad-area,Flu ED visits pct,2017-09-09,0.04
2025-10-15,triad-area,Flu ED visits pct,2017-09-16,0.03
2025-10-15,triad-area,Flu ED visits pct,2017-09-23,0.1
2025-10-15,triad-area,Flu ED visits pct,2017-09-30,0.1
2025-10-15,triad-area,Flu ED visits pct,2017-10-07,0.08
2025-10-15,triad-area,Flu ED visits pct,2017-10-14,0.14
2025-10-15,triad-area,Flu ED visits pct,2017-10-21,0.17
2025-10-15,triad-area,Flu ED visits pct,2017-10-28,0.16
2025-10-15,triad-area,Flu ED visits pct,2017-11-04,0.17
2025-10-15,triad-area,Flu ED visits pct,2017-11-11,0.14
2025-10-15,triad-area,Flu ED visits pct,2017-11-18,0.19
2025-10-15,triad-area,Flu ED visits pct,2017-11-25,0.24
2025-10-15,triad-area,Flu ED visits pct,2017-12-02,0.27
2025-10-15,triad-area,Flu ED visits pct,2017-12-09,0.37
2025-10-15,triad-area,Flu ED visits pct,2017-12-16,0.66
2025-10-15,triad-area,Flu ED visits pct,2017-12-23,1.17
2025-10-15,triad-area,Flu ED visits pct,2017-12-30,1.88
2025-10-15,triad-area,Flu ED visits pct,2018-01-06,2.66
2025-10-15,triad-area,Flu ED visits pct,2018-01-13,3.65
2025-10-15,triad-area,Flu ED visits pct,2018-01-20,5.62
2025-10-15,triad-area,Flu ED visits pct,2018-01-27,5.68
2025-10-15,triad-area,Flu ED visits pct,2018-02-03,7.55
2025-10-15,triad-area,Flu ED visits pct,2018-02-10,7.82
2025-10-15,triad-area,Flu ED visits pct,2018-02-17,7.9
2025-10-15,triad-area,Flu ED visits pct,2018-02-24,4.82
2025-10-15,triad-area,Flu ED visits pct,2018-03-03,2.5
2025-10-15,triad-area,Flu ED visits pct,2018-03-10,1.65
2025-10-15,triad-area,Flu ED visits pct,2018-03-17,1.69
2025-10-15,triad-area,Flu ED visits pct,2018-03-24,1.37
2025-10-15,triad-area,Flu ED visits pct,2018-03-31,1.45
2025-10-15,triad-area,Flu ED visits pct,2018-04-07,1.15
2025-10-15,triad-area,Flu ED visits pct,2018-04-14,0.8
2025-10-15,triad-area,Flu ED visits pct,2018-04-21,0.6
2025-10-15,triad-area,Flu ED visits pct,2018-04-28,0.53
2025-10-15,triad-area,Flu ED visits pct,2018-05-05,0.33
2025-10-15,triad-area,Flu ED visits pct,2018-05-12,0.21
2025-10-15,triad-area,Flu ED visits pct,2018-05-19,0.17
2025-10-15,triad-area,Flu ED visits pct,2018-05-26,0.1
2025-10-15,triad-area,Flu ED visits pct,2018-06-02,0.09
2025-10-15,triad-area,Flu ED visits pct,2018-06-09,0.08
2025-10-15,triad-area,Flu ED visits pct,2018-06-16,0.07
2025-10-15,triad-area,Flu ED visits pct,2018-06-23,0.06
2025-10-15,triad-area,Flu ED visits pct,2018-06-30,0.04
2025-10-15,triad-area,Flu ED visits pct,2018-07-07,0.01
2025-10-15,triad-area,Flu ED visits pct,2018-07-14,0.04
2025-10-15,triad-area,Flu ED visits pct,2018-07-21,0
2025-10-15,triad-area,Flu ED visits pct,2018-07-28,0.02
2025-10-15,triad-area,Flu ED visits pct,2018-08-04,0.03
2025-10-15,triad-area,Flu ED visits pct,2018-08-11,0.01
2025-10-15,triad-area,Flu ED visits pct,2018-08-18,0.02
2025-10-15,triad-area,Flu ED visits pct,2018-08-25,0.01
2025-10-15,triad-area,Flu ED visits pct,2018-09-01,0.03
2025-10-15,triad-area,Flu ED visits pct,2018-09-08,0.02
2025-10-15,triad-area,Flu ED visits pct,2018-09-15,0.08
2025-10-15,triad-area,Flu ED visits pct,2018-09-22,0.06
2025-10-15,triad-area,Flu ED visits pct,2018-09-29,0.12
2025-10-15,triad-area,Flu ED visits pct,2018-10-06,0.16
2025-10-15,triad-area,Flu ED visits pct,2018-10-13,0.24
2025-10-15,triad-area,Flu ED visits pct,2018-10-20,0.3
2025-10-15,triad-area,Flu ED visits pct,2018-10-27,0.3
2025-10-15,triad-area,Flu ED visits pct,2018-11-03,0.27
2025-10-15,triad-area,Flu ED visits pct,2018-11-10,0.39
2025-10-15,triad-area,Flu ED visits pct,2018-11-17,0.41
2025-10-15,triad-area,Flu ED visits pct,2018-11-24,0.8
2025-10-15,triad-area,Flu ED visits pct,2018-12-01,0.66
2025-10-15,triad-area,Flu ED visits pct,2018-12-08,0.75
2025-10-15,triad-area,Flu ED visits pct,2018-12-15,0.99
2025-10-15,triad-area,Flu ED visits pct,2018-12-22,0.93
2025-10-15,triad-area,Flu ED visits pct,2018-12-29,1.94
2025-10-15,triad-area,Flu ED visits pct,2019-01-05,1.29
2025-10-15,triad-area,Flu ED visits pct,2019-01-12,1.32
2025-10-15,triad-area,Flu ED visits pct,2019-01-19,1.95
2025-10-15,triad-area,Flu ED visits pct,2019-01-26,3.05
2025-10-15,triad-area,Flu ED visits pct,2019-02-02,5.11
2025-10-15,triad-area,Flu ED visits pct,2019-02-09,8.07
2025-10-15,triad-area,Flu ED visits pct,2019-02-16,7.62
2025-10-15,triad-area,Flu ED visits pct,2019-02-23,7.99
2025-10-15,triad-area,Flu ED visits pct,2019-03-02,5.85
2025-10-15,triad-area,Flu ED visits pct,2019-03-09,4.07
2025-10-15,triad-area,Flu ED visits pct,2019-03-16,3.48
2025-10-15,triad-area,Flu ED visits pct,2019-03-23,2.37
2025-10-15,triad-area,Flu ED visits pct,2019-03-30,1.9
2025-10-15,triad-area,Flu ED visits pct,2019-04-06,1.52
2025-10-15,triad-area,Flu ED visits pct,2019-04-13,1.03
2025-10-15,triad-area,Flu ED visits pct,2019-04-20,0.57
2025-10-15,triad-area,Flu ED visits pct,2019-04-27,0.31
2025-10-15,triad-area,Flu ED visits pct,2019-05-04,0.3
2025-10-15,triad-area,Flu ED visits pct,2019-05-11,0.21
2025-10-15,triad-area,Flu ED visits pct,2019-05-18,0.09
2025-10-15,triad-area,Flu ED visits pct,2019-05-25,0.12
2025-10-15,triad-area,Flu ED visits pct,2019-06-01,0.11
2025-10-15,triad-area,Flu ED visits pct,2019-06-08,0.1
2025-10-15,triad-area,Flu ED visits pct,2019-06-15,0.07
2025-10-15,triad-area,Flu ED visits pct,2019-06-22,0.05
2025-10-15,triad-area,Flu ED visits pct,2019-06-29,0.04
2025-10-15,triad-area,Flu ED visits pct,2019-07-06,0.03
2025-10-15,triad-area,Flu ED visits pct,2019-07-13,0.03
2025-10-15,triad-area,Flu ED visits pct,2019-07-20,0.03
2025-10-15,triad-area,Flu ED visits pct,2019-07-27,0.08
2025-10-15,triad-area,Flu ED visits pct,2019-08-03,0.05
2025-10-15,triad-area,Flu ED visits pct,2019-08-10,0.04
2025-10-15,triad-area,Flu ED visits pct,2019-08-17,0.06
2025-10-15,triad-area,Flu ED visits pct,2019-08-24,0.03
2025-10-15,triad-area,Flu ED visits pct,2019-08-31,0.04
2025-10-15,triad-area,Flu ED visits pct,2019-09-07,0.14
2025-10-15,triad-area,Flu ED visits pct,2019-09-14,0.11
2025-10-15,triad-area,Flu ED visits pct,2019-09-21,0.13
2025-10-15,triad-area,Flu ED visits pct,2019-09-28,0.16
2025-10-15,triad-area,Flu ED visits pct,2019-10-05,0.28
2025-10-15,triad-area,Flu ED visits pct,2019-10-12,0.18
2025-10-15,triad-area,Flu ED visits pct,2019-10-19,0.26
2025-10-15,triad-area,Flu ED visits pct,2019-10-26,0.27
2025-10-15,triad-area,Flu ED visits pct,2019-11-02,0.4
2025-10-15,triad-area,Flu ED visits pct,2019-11-09,0.36
2025-10-15,triad-area,Flu ED visits pct,2019-11-16,0.5
2025-10-15,triad-area,Flu ED visits pct,2019-11-23,0.8
2025-10-15,triad-area,Flu ED visits pct,2019-11-30,1.44
2025-10-15,triad-area,Flu ED visits pct,2019-12-07,1.74
2025-10-15,triad-area,Flu ED visits pct,2019-12-14,2.36
2025-10-15,triad-area,Flu ED visits pct,2019-12-21,3.87
2025-10-15,triad-area,Flu ED visits pct,2019-12-28,5.96
2025-10-15,triad-area,Flu ED visits pct,2020-01-04,4.9
2025-10-15,triad-area,Flu ED visits pct,2020-01-11,3.25
2025-10-15,triad-area,Flu ED visits pct,2020-01-18,3.21
2025-10-15,triad-area,Flu ED visits pct,2020-01-25,3.44
2025-10-15,triad-area,Flu ED visits pct,2020-02-01,4.84
2025-10-15,triad-area,Flu ED visits pct,2020-02-08,6.65
